Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg_v500_Fn15N_5Hz_5s,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,611,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,-0.00764946,19.9998,0.051
,2,-0.00646794,19.984,0.101
,3,-0.0052381,19.959,0.15
,4,-0.00765024,19.934,0.201
,5,-0.00545088,19.909,0.251
,6,-0.00601474,19.884,0.301
,7,-0.00579573,19.859,0.351
,8,-0.00620764,19.834,0.401
,9,-0.00520733,19.809,0.451
,10,-0.00439718,19.784,0.501
,11,-0.0038902,19.759,0.551
,12,-0.00526344,19.734,0.601
,13,-0.00456045,19.709,0.651
,14,-0.00587251,19.684,0.701
,15,-0.00500624,19.659,0.751
,16,-0.00481258,19.634,0.801
,17,-0.00568429,19.609,0.851
,18,-0.004449,19.584,0.901
,19,-0.00496843,19.5592,0.951
,20,-0.00499105,19.534,1.001
,21,-0.00640091,19.509,1.051
,22,-0.0042335,19.4842,1.1
,23,-0.00494039,19.4592,1.15
,24,-0.0057782,19.435,1.2
,25,-0.00778429,19.4094,1.25
,26,-0.00537799,19.3846,1.3
,27,-0.00649756,19.3596,1.35
,28,-0.00606735,19.3348,1.4
,29,-0.0059746,19.3104,1.45
,30,-0.00408114,19.2854,1.5
,31,-0.0080294,19.2604,1.55
,32,-0.00751033,19.2354,1.6
,33,-0.00749007,19.2104,1.65
,34,-0.00623296,19.1856,1.7
,35,-0.00821761,19.1607,1.75
,36,-0.00642976,19.1356,1.8
,37,-0.00880798,19.1104,1.85
,38,-0.00753996,19.0856,1.9
,39,-0.00679995,19.0607,1.95
,40,-0.00908816,19.0356,2
,41,-0.00913998,19.0104,2.05
,42,-0.0072851,18.9856,2.1
,43,-0.00847635,18.9607,2.15
,44,-0.00938432,18.9356,2.2
,45,-0.0104294,18.9104,2.25
,46,-0.00781663,18.8856,2.3
,47,-0.0106952,18.8607,2.35
,48,-0.00857573,18.8356,2.4
,49,-0.010659,18.8104,2.45
,50,-0.00897554,18.7856,2.5
,51,-0.0106215,18.7604,2.55
,52,-0.00965709,18.7354,2.6
,53,-0.0130664,18.7104,2.65
,54,-0.00966683,18.6854,2.7
,55,-0.0121401,18.6604,2.75
,56,-0.0112848,18.6354,2.8
,57,-0.0142078,18.6104,2.85
,58,-0.0111094,18.5854,2.9
,59,-0.0139373,18.5604,2.95
,60,-0.0118319,18.5354,3
,61,-0.0161137,18.5104,3.05
,62,-0.0133267,18.4856,3.1
,63,-0.0128638,18.4607,3.15
,64,-0.0135379,18.4356,3.2
,65,-0.0151539,18.4108,3.25
,66,-0.0116269,18.386,3.3
,67,-0.0127153,18.3607,3.35
,68,-0.0142697,18.3358,3.4
,69,-0.0154244,18.3108,3.45
,70,-0.0143894,18.286,3.5
,71,-0.0146844,18.2615,3.55
,72,-0.013589,18.2366,3.6
,73,-0.0153636,18.2116,3.65
,74,-0.0137004,18.1869,3.7
,75,-0.0138945,18.1618,3.75
,76,-0.0123046,18.1366,3.8
,77,-0.0140457,18.1119,3.85
,78,-0.0137897,18.0869,3.9
,79,-0.0113951,18.0618,3.95
,80,-0.0139553,18.0366,4
,81,-0.0134674,18.0116,4.05
,82,-0.0129133,17.9869,4.1
,83,-0.0114169,17.9618,4.15
,84,-0.0146844,17.9366,4.2
,85,-0.0151076,17.9116,4.25
,86,-0.0148796,17.8869,4.3
,87,-0.0132893,17.8618,4.35
,88,-0.0138618,17.8366,4.4
,89,-0.0138029,17.8115,4.45
,90,-0.0134105,17.7866,4.5
,91,-0.012552,17.7615,4.55
,92,-0.0129121,17.7366,4.6
,93,-0.0126506,17.7115,4.65
,94,-0.0131315,17.6866,4.7
,95,-0.0101699,17.6615,4.75
,96,-0.0133595,17.6366,4.8
,97,-0.012167,17.6112,4.851
,98,-0.0114874,17.5866,4.901
,99,-0.010092,17.5615,4.951
,100,-0.012711,17.5365,5.001
,101,-0.0127095,17.5112,5.051
,102,-0.00971126,17.4866,5.101
,103,-0.00909477,17.4615,5.151
,104,-0.0109516,17.4366,5.201
,105,-0.0112867,17.4115,5.251
,106,-0.00913843,17.3866,5.301
,107,-0.00965202,17.3618,5.351
,108,-0.0093056,17.3366,5.401
,109,-0.0101804,17.3116,5.451
,110,-0.00971048,17.2869,5.501
,111,-0.00744759,17.2618,5.551
,112,-0.00864976,17.2369,5.601
,113,-0.00979153,17.2127,5.651
,114,-0.0074893,17.1877,5.701
,115,-0.00662966,17.1631,5.751
,116,-0.00645898,17.1381,5.801
,117,-0.00921129,17.1131,5.851
,118,-0.00775154,17.0881,5.901
,119,-0.00527512,17.0631,5.951
,120,-0.00722003,17.0381,6.001
,121,-0.00739654,17.0131,6.051
,122,-0.00740669,16.9881,6.101
,123,-0.0061636,16.9631,6.151
,124,-0.00590212,16.9379,6.201
,125,-0.00508419,16.9129,6.251
,126,-0.00499805,16.8881,6.301
,127,-0.00464969,16.8631,6.351
,128,-0.0064434,16.8379,6.401
,129,-0.00701271,16.8129,6.451
,130,-0.00493338,16.7878,6.501
,131,-0.00499027,16.7628,6.551
,132,-0.00334152,16.7378,6.601
,133,-0.00586704,16.7128,6.651
,134,-0.00534526,16.6878,6.701
,135,-0.00517927,16.6628,6.751
,136,-0.00557245,16.6378,6.801
,137,-0.00445835,16.6125,6.851
,138,-0.00460371,16.5876,6.901
,139,-0.00380681,16.5628,6.951
,140,-0.00330567,16.5378,7.001
,141,-0.0052233,16.5128,7.051
,142,-0.00610983,16.4878,7.101
,143,-0.00480595,16.4628,7.151
,144,-0.00374367,16.4379,7.201
,145,-0.00502223,16.4129,7.251
,146,-0.00735992,16.3881,7.301
,147,-0.00303096,16.3631,7.351
,148,-0.00441392,16.3381,7.401
,149,-0.00502807,16.3131,7.451
,150,-0.00649171,16.2881,7.501
,151,-0.00373394,16.2631,7.551
,152,-0.00284078,16.2381,7.601
,153,-0.00539359,16.2131,7.651
,154,-0.005627,16.1881,7.701
,155,-0.00487336,16.1642,7.751
,156,-0.0059029,16.1396,7.801
,157,-0.00574742,16.1145,7.851
,158,-0.00724652,16.0894,7.901
,159,-0.00523499,16.0646,7.951
,160,-0.00873666,16.0396,8.001
