Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg5Hz_10s_v500_Fn35N,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,819,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,-0.00408816,24.9996,0.051
,2,-0.000366315,24.9842,0.101
,3,-0.00202868,24.9592,0.15
,4,-0.00541463,24.9332,0.201
,5,-0.000411908,24.909,0.251
,6,-0.00102915,24.8842,0.301
,7,0.00055411,24.8592,0.351
,8,-0.00220912,24.8341,0.401
,9,-0.00447239,24.8081,0.451
,10,-0.00244761,24.7834,0.501
,11,-0.00393696,24.7592,0.551
,12,-0.000851462,24.7341,0.601
,13,-0.00251307,24.709,0.651
,14,0.00185565,24.6842,0.701
,15,-0.000902126,24.6592,0.751
,16,5.44E-06,24.6341,0.801
,17,-0.00188528,24.609,0.851
,18,-0.00198114,24.5842,0.901
,19,-0.00230732,24.5592,0.951
,20,-0.00175241,24.5343,1.001
,21,-0.00296822,24.5094,1.051
,22,-0.000738059,24.4846,1.1
,23,-0.00310851,24.4594,1.15
,24,-0.00177424,24.4343,1.2
,25,-0.00281858,24.4104,1.25
,26,8.61E-05,24.3854,1.3
,27,-0.00207467,24.3604,1.35
,28,-0.00184008,24.3354,1.4
,29,-0.00223521,24.3104,1.45
,30,-0.0014582,24.2854,1.5
,31,-0.00518005,24.2604,1.55
,32,-0.00265568,24.2356,1.6
,33,-0.00359833,24.2104,1.65
,34,-0.00293782,24.1856,1.7
,35,-0.00526071,24.1607,1.75
,36,-0.00343661,24.1358,1.8
,37,-0.00494195,24.1107,1.85
,38,-0.00296119,24.0858,1.9
,39,-0.00296626,24.0607,1.95
,40,-0.00427949,24.0358,2
,41,-0.00574351,24.0107,2.05
,42,-0.0063148,23.9858,2.1
,43,-0.00758437,23.9607,2.15
,44,-0.00343817,23.9358,2.2
,45,-0.00765141,23.9107,2.25
,46,-0.00391085,23.8856,2.3
,47,-0.00736109,23.8607,2.35
,48,-0.00546294,23.8356,2.4
,49,-0.00790703,23.8104,2.45
,50,-0.00589939,23.7856,2.5
,51,-0.0070774,23.7607,2.55
,52,-0.00725744,23.7356,2.6
,53,-0.00904763,23.7104,2.65
,54,-0.00997118,23.6856,2.7
,55,-0.00813033,23.6607,2.75
,56,-0.00904841,23.6354,2.8
,57,-0.00917623,23.6104,2.85
,58,-0.00811902,23.5856,2.9
,59,-0.0106886,23.5607,2.95
,60,-0.00894046,23.5356,3
,61,-0.00956239,23.5104,3.05
