Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg5Hz_10s_v500_Fn10N,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,807,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,0.00551631,24.9995,0.051
,2,0.0057591,24.9842,0.101
,3,0.00280101,24.9592,0.15
,4,0.00443455,24.9341,0.201
,5,0.00550191,24.909,0.251
,6,0.00361273,24.8842,0.301
,7,0.00478839,24.8592,0.351
,8,0.00514339,24.8341,0.401
,9,0.00315017,24.809,0.451
,10,0.00646012,24.7842,0.501
,11,0.00376197,24.7592,0.551
,12,0.00433207,24.7341,0.601
,13,0.0034853,24.7081,0.651
,14,0.00591964,24.6842,0.701
,15,0.00319733,24.6584,0.751
,16,0.00432038,24.634,0.801
,17,0.00413451,24.609,0.851
,18,0.00300639,24.5842,0.901
,19,0.00442483,24.5592,0.951
,20,0.00407684,24.5343,1.001
,21,0.00295027,24.5094,1.051
,22,0.0037456,24.4846,1.1
,23,0.00365675,24.4592,1.15
,24,0.00361,24.4343,1.2
,25,0.00117877,24.4104,1.25
,26,0.00394825,24.3854,1.3
,27,0.00326825,24.3604,1.35
,28,0.0035453,24.3354,1.4
,29,0.000669469,24.3104,1.45
,30,0.00369611,24.2854,1.5
,31,0.000811696,24.2604,1.55
,32,0.00145817,24.2356,1.6
,33,9.66E-05,24.2104,1.65
,34,0.00367624,24.1856,1.7
,35,0.00101706,24.1607,1.75
,36,0.00155831,24.1358,1.8
,37,0.000340963,24.1107,1.85
,38,0.00288519,24.0856,1.9
,39,-0.000200311,24.0607,1.95
,40,0.000422398,24.0358,2
,41,-0.000178874,24.0107,2.05
,42,-0.00100851,23.9858,2.1
,43,-5.89E-05,23.9607,2.15
,44,0.000623087,23.9358,2.2
,45,-0.00205012,23.9107,2.25
,46,-0.000489061,23.8858,2.3
,47,-0.000957067,23.8607,2.35
,48,-0.000204975,23.8356,2.4
,49,-0.00217872,23.8104,2.45
,50,-0.00231122,23.7856,2.5
,51,-0.00343389,23.7607,2.55
,52,-0.000633637,23.7356,2.6
,53,-0.00266037,23.7104,2.65
,54,-0.00303524,23.6856,2.7
,55,-0.00305941,23.6604,2.75
,56,-0.00227654,23.6356,2.8
,57,-0.0035461,23.6104,2.85
,58,-0.000929013,23.5856,2.9
,59,-0.000946939,23.5607,2.95
,60,-0.00258126,23.5356,3
,61,-0.00279909,23.5104,3.05
,62,-0.00369731,23.4856,3.1
,63,-0.0043543,23.4607,3.15
,64,-0.00301693,23.4358,3.2
,65,-0.00235408,23.4107,3.25
,66,-0.00408464,23.3861,3.3
,67,-0.0050721,23.3615,3.35
,68,-0.00280923,23.3366,3.4
,69,-0.00560285,23.3116,3.45
,70,-0.00334814,23.2869,3.5
,71,-0.00303875,23.2618,3.55
,72,-0.00367978,23.2366,3.6
,73,-0.00371134,23.2116,3.65
,74,-0.00445523,23.1869,3.7
,75,-0.00298575,23.1619,3.75
,76,-0.00400944,23.1369,3.8
,77,-0.00478725,23.1119,3.85
,78,-0.00347908,23.0869,3.9
,79,-0.00235173,23.0619,3.95
,80,-0.00352741,23.0369,4
,81,-0.00338087,23.0116,4.05
,82,-0.00415284,22.9869,4.1
,83,-0.00197881,22.9618,4.15
,84,-0.00297757,22.9366,4.2
,85,-0.00416336,22.9116,4.25
,86,-0.00297056,22.8869,4.3
,87,-2.30E-05,22.8618,4.35
,88,-0.00232096,22.8366,4.4
