Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg_v500_Fn15N_1Hz_50s,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,611,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,0.000629693,19.9996,0.051
,2,0.00388276,19.9838,0.101
,3,0.0011094,19.959,0.15
,4,0.00188487,19.934,0.201
,5,0.00409942,19.909,0.251
,6,0.00374754,19.884,0.301
,7,0.00491347,19.859,0.351
,8,0.00199359,19.834,0.401
,9,0.0034997,19.809,0.451
,10,0.00302897,19.784,0.501
,11,0.0042966,19.759,0.551
,12,0.00359985,19.734,0.601
,13,0.00361739,19.709,0.651
,14,0.00589585,19.684,0.701
,15,0.00351451,19.659,0.751
,16,0.00159573,19.634,0.801
,17,0.00204346,19.609,0.851
,18,0.00365674,19.5842,0.901
,19,0.00355893,19.5592,0.951
,20,0.0041493,19.534,1.001
,21,0.00308236,19.509,1.051
,22,0.00577037,19.4842,1.1
,23,0.002227,19.4592,1.15
,24,0.00310067,19.4343,1.2
,25,0.00366767,19.4094,1.25
,26,0.00424322,19.3846,1.3
,27,0.00203568,19.3596,1.35
,28,0.00339487,19.3346,1.4
,29,0.00228819,19.3104,1.45
,30,0.00310146,19.2854,1.5
,31,0.00136347,19.2604,1.55
,32,0.00321055,19.2354,1.6
,33,-0.000588834,19.2104,1.65
,34,0.00156961,19.1856,1.7
,35,0.000291064,19.1607,1.75
,36,0.0024803,19.1356,1.8
,37,-0.00087135,19.1104,1.85
,38,0.0024121,19.0856,1.9
,39,0.000352646,19.0607,1.95
,40,0.00133424,19.0356,2
,41,-0.000722875,19.0104,2.05
,42,0.000890786,18.9856,2.1
,43,-0.00114998,18.9607,2.15
,44,-0.000178501,18.9356,2.2
,45,-0.00274962,18.9104,2.25
,46,0.0004824,18.8856,2.3
,47,-0.00148042,18.8607,2.35
,48,-0.000120049,18.8356,2.4
,49,-0.00244216,18.8104,2.45
,50,-0.000768865,18.7854,2.5
,51,-0.003619,18.7607,2.55
,52,-0.0028521,18.7356,2.6
,53,-0.00476426,18.7104,2.65
,54,-0.00188608,18.6854,2.7
