Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_17_Sample144_v500__5Hz_10Deg_v500_Fn10N,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,777,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,0.00118148,24.9996,0.051
,2,0.00593989,24.9838,0.101
,3,0.00524042,24.959,0.15
,4,0.00443221,24.934,0.201
,5,0.00589469,24.909,0.251
,6,0.00416645,24.884,0.301
,7,-0.000220974,24.859,0.351
,8,0.00353788,24.834,0.401
,9,0.00331772,24.809,0.451
,10,0.00593639,24.784,0.501
,11,-0.000214731,24.759,0.551
,12,0.00179524,24.734,0.601
,13,0.00464733,24.709,0.651
,14,0.00267358,24.684,0.701
,15,0.00424789,24.659,0.751
,16,0.00142075,24.634,0.801
,17,0.00379196,24.609,0.851
,18,0.00280879,24.584,0.901
,19,0.000164429,24.5598,0.951
,20,0.00290427,24.5341,1.001
,21,0.00618655,24.509,1.051
,22,0.00349697,24.4842,1.1
,23,0.00259174,24.4592,1.15
,24,0.00512117,24.4343,1.2
,25,0.000846356,24.4094,1.25
,26,0.00449065,24.3854,1.3
,27,-0.00109307,24.3604,1.35
,28,0.0044326,24.3354,1.4
,29,-0.00419727,24.3104,1.45
,30,8.73E-05,24.2854,1.5
,31,3.97E-05,24.2604,1.55
,32,0.00254498,24.2354,1.6
,33,0.0010716,24.2104,1.65
,34,0.00355232,24.1854,1.7
,35,0.00117604,24.1607,1.75
,36,0.000716209,24.1356,1.8
,37,-0.00156771,24.1104,1.85
,38,0.000875592,24.0856,1.9
,39,-0.00010407,24.0607,1.95
,40,-0.000580256,24.0356,2
,41,0.000139867,24.0104,2.05
,42,0.000627369,23.9856,2.1
,43,0.00126098,23.9607,2.15
,44,-0.000840565,23.9356,2.2
,45,-0.0044907,23.9104,2.25
,46,0.00103926,23.8856,2.3
,47,0.000406027,23.8607,2.35
,48,-0.00215029,23.8356,2.4
,49,-0.00181827,23.8104,2.45
,50,0.00386444,23.7856,2.5
,51,-0.00147185,23.7604,2.55
,52,-0.00482545,23.7354,2.6
,53,-0.00645042,23.7104,2.65
,54,-0.00412792,23.6854,2.7
,55,-0.00355235,23.6604,2.75
,56,-0.00112543,23.6354,2.8
,57,-0.00253724,23.6104,2.85
,58,-0.00291172,23.5854,2.9
,59,-0.00476115,23.5604,2.95
,60,-0.00355235,23.5354,3
,61,-0.00371329,23.5108,3.05
,62,-0.0017797,23.4856,3.1
,63,-0.00619556,23.4607,3.15
,64,-0.00578445,23.4354,3.2
,65,-0.00450435,23.4104,3.25
,66,-0.00619362,23.3856,3.3
,67,-0.00526618,23.3607,3.35
,68,-0.00228356,23.3366,3.4
,69,-0.00262258,23.3116,3.45
,70,-0.00900204,23.2869,3.5
,71,-0.00282872,23.2618,3.55
,72,-0.00535814,23.2366,3.6
,73,-0.0115276,23.2116,3.65
,74,-0.00915247,23.1869,3.7
,75,-0.00479426,23.1618,3.75
,76,-0.00695193,23.1366,3.8
,77,-0.00410375,23.1119,3.85
,78,-0.0118241,23.0869,3.9
,79,-0.00206768,23.0619,3.95
,80,-0.00387268,23.0366,4
,81,-0.00483792,23.0116,4.05
,82,-0.0070856,22.9869,4.1
,83,-0.00614959,22.9618,4.15
,84,-0.00348962,22.9366,4.2
,85,-0.00391086,22.9116,4.25
,86,-0.00319501,22.8869,4.3
,87,-0.00486208,22.8618,4.35
,88,-0.00733226,22.8366,4.4
,89,-0.004034,22.8115,4.45
,90,-0.00759764,22.7866,4.5
,91,-0.00373979,22.7615,4.55
,92,-0.00465711,22.7366,4.6
,93,-0.0103258,22.7115,4.65
,94,-0.00213315,22.6866,4.7
,95,-0.00447045,22.6615,4.75
,96,-0.00606386,22.6365,4.8
,97,-0.00576614,22.6112,4.851
,98,-0.002252,22.5864,4.901
,99,-0.00315722,22.5615,4.951
,100,-0.00358976,22.5365,5.001
,101,-0.00285679,22.5112,5.051
,102,0.000896245,22.4864,5.101
,103,-0.0033466,22.4623,5.151
,104,0.00152714,22.4366,5.201
,105,-0.00721887,22.4115,5.251
,106,-0.00138495,22.3866,5.301
,107,-0.000853429,22.3618,5.351
,108,-0.0015833,22.337,5.401
,109,-0.000750159,22.312,5.451
,110,0.00145894,22.2877,5.501
,111,0.001298,22.2631,5.551
,112,-0.00376435,22.2379,5.601
,113,-0.00113867,22.2131,5.651
,114,-0.000335147,22.1881,5.701
,115,-0.000760287,22.1631,5.751
,116,0.00108251,22.1381,5.801
,117,0.000378753,22.1131,5.851
,118,0.00377832,22.0881,5.901
,119,0.000715817,22.0631,5.951
,120,0.00229364,22.0381,6.001
,121,0.00134203,22.0129,6.051
,122,0.00102521,21.9881,6.101
,123,-0.00119868,21.9631,6.151
,124,0.00441663,21.9379,6.201
,125,0.000255217,21.9129,6.251
,126,0.00459509,21.8881,6.301
,127,0.00414579,21.8631,6.351
,128,0.00383678,21.8379,6.401
,129,0.000856097,21.8129,6.451
,130,0.00329356,21.7878,6.501
,131,0.00285088,21.7628,6.551
,132,0.00422684,21.7378,6.601
,133,0.0033146,21.7128,6.651
,134,0.00364662,21.6878,6.701
,135,0.00517142,21.6628,6.751
,136,0.00371207,21.6378,6.801
,137,0.00213582,21.6128,6.851
,138,0.00236378,21.5876,6.901
,139,0.00252355,21.5628,6.951
,140,0.000457068,21.5378,7.001
,141,0.00361895,21.5126,7.051
,142,0.00351491,21.4878,7.101
,143,0.00201736,21.4628,7.151
,144,0.00173094,21.4378,7.201
,145,0.00331694,21.4133,7.251
,146,0.00607199,21.3881,7.301
,147,0.00142971,21.3631,7.351
,148,0.00370156,21.3379,7.401
,149,0.00266384,21.3131,7.451
,150,0.000776231,21.2881,7.501
,151,0.0014835,21.2631,7.551
,152,-0.000777433,21.2394,7.601
,153,0.00375767,21.2144,7.651
,154,0.00480903,21.1894,7.701
,155,0.00428453,21.1644,7.751
,156,-0.0014095,21.1394,7.801
,157,0.00352658,21.1145,7.851
,158,0.00132254,21.0894,7.901
,159,0.00435777,21.0644,7.951
,160,-0.00169085,21.0396,8.001
,161,0.00262916,21.0144,8.051
,162,0.000705302,20.9894,8.101
,163,-0.0016059,20.9644,8.151
,164,-0.000939543,20.9394,8.201
,165,0.00295299,20.9144,8.251
,166,0.00137516,20.8894,8.301
,167,0.00132723,20.8644,8.351
,168,-0.00354301,20.8394,8.401
,169,-0.00118621,20.8144,8.451
,170,0.000376408,20.7894,8.501
,171,0.0010112,20.7644,8.551
,172,0.00144374,20.7394,8.601
,173,-0.00453396,20.7144,8.651
,174,-0.00554518,20.6894,8.701
,175,-0.00422923,20.6644,8.751
,176,-0.00306409,20.6394,8.801
,177,-0.00331583,20.6144,8.851
,178,-0.00576459,20.5894,8.901
,179,-0.0023915,20.5644,8.951
,180,-0.00418598,20.5394,9.001
,181,-0.00282911,20.5144,9.051
,182,-0.00529774,20.4894,9.101
,183,-0.00107554,20.4644,9.151
,184,-0.00540411,20.4394,9.201
,185,-0.00658525,20.4144,9.251
,186,-0.0046419,20.3894,9.301
,187,-0.00227771,20.3652,9.351
,188,-0.00417663,20.3396,9.401
,189,-0.00745891,20.3145,9.451
,190,-0.00601553,20.2894,9.501
,191,-0.00486831,20.2646,9.551
,192,-0.00600462,20.2399,9.601
,193,-0.00525059,20.215,9.651
,194,-0.00487727,20.1907,9.701
,195,-0.00610399,20.1658,9.751
,196,-0.00390463,20.1407,9.801
,197,-0.00666864,20.1158,9.851
,198,-0.00589785,20.0908,9.901
,199,-0.0107295,20.0658,9.951
,200,-0.00626766,20.0408,10
,201,-0.0100078,20.0158,10.05
,202,-0.00537918,19.9908,10.1
,203,-0.00601904,19.9658,10.15
,204,-0.00917937,19.9408,10.2
,205,-0.00511927,19.9158,10.25
,206,-0.00312137,19.8908,10.3
,207,-0.00823712,19.8658,10.35
,208,-0.00676919,19.8408,10.4
,209,-0.00948096,19.8158,10.45
,210,-0.00340701,19.7908,10.5
,211,-0.00701662,19.7658,10.55
,212,-0.00178399,19.7408,10.6
,213,-0.00390385,19.7158,10.65
,214,-0.00596565,19.6908,10.7
,215,-0.00722199,19.6658,10.75
,216,-0.00129688,19.6408,10.8
,217,-0.00422143,19.6158,10.85
,218,-0.00531059,19.5908,10.9
,219,-0.00484843,19.5657,10.95
,220,-0.00485545,19.5408,11
,221,-0.00376317,19.5158,11.05
,222,-0.00342688,19.4908,11.1
,223,-0.00507874,19.4658,11.15
,224,-0.00136937,19.4413,11.2
,225,-0.00512745,19.4162,11.25
,226,0.000937551,19.391,11.3
,227,-0.00260971,19.3665,11.35
,228,-0.000663658,19.3415,11.4
,229,-0.00589395,19.3169,11.45
,230,0.0018303,19.2915,11.5
,231,-0.000117327,19.2665,11.55
,232,-0.000224878,19.2415,11.6
,233,-0.000357365,19.2165,11.65
,234,0.000360042,19.1915,11.7
,235,-0.00483596,19.1665,11.75
,236,-0.00412324,19.1419,11.8
,237,0.000105187,19.1176,11.85
,238,0.00273398,19.0925,11.9
,239,0.00180419,19.0674,11.95
,240,0.00141179,19.0427,12
,241,0.00253174,19.0178,12.05
,242,0.00264357,18.9927,12.1
,243,-0.00306252,18.9677,12.15
,244,-0.00167527,18.9429,12.2
,245,0.000798826,18.9178,12.25
,246,-0.00125908,18.8927,12.3
,247,-0.00206261,18.8677,12.35
,248,0.00188058,18.8429,12.4
,249,-0.000736902,18.8179,12.45
,250,-0.000985533,18.7925,12.5
,251,0.00397511,18.7679,12.55
,252,0.0031599,18.7429,12.6
,253,0.00385354,18.7179,12.65
,254,0.00209685,18.6929,12.7
,255,0.00389523,18.6679,12.75
,256,0.0019328,18.6429,12.8
,257,-0.0013717,18.6179,12.85
,258,0.0044821,18.5929,12.9
,259,0.000502666,18.5679,12.95
,260,0.00361856,18.5429,13
,261,0.00249588,18.5179,13.05
,262,0.00336644,18.4929,13.1
,263,0.00143479,18.4679,13.15
,264,0.00215842,18.4429,13.2
,265,0.00427361,18.4179,13.25
,266,0.00196553,18.3931,13.3
,267,0.00497192,18.3683,13.35
,268,0.00642076,18.3435,13.4
,269,0.00413411,18.3185,13.45
,270,0.00501673,18.2935,13.5
,271,0.00431375,18.269,13.55
,272,0.00438623,18.2435,13.6
,273,0.00157975,18.2185,13.65
,274,0.00538615,18.1935,13.7
,275,0.00218064,18.1685,13.75
,276,0.00105095,18.1437,13.8
,277,0.00107589,18.1188,13.85
,278,-0.000622729,18.0942,13.9
,279,0.00285791,18.0697,13.95
,280,0.00196942,18.0445,14
,281,-0.000178486,18.0196,14.05
,282,0.0032507,17.9947,14.1
,283,0.00256447,17.9697,14.15
,284,0.0013627,17.945,14.2
,285,0.000529165,17.9199,14.25
,286,0.000627369,17.895,14.3
,287,0.00310145,17.8697,14.35
,288,0.00257694,17.845,14.4
,289,0.000671009,17.82,14.45
,290,0.00421633,17.795,14.5
,291,0.0016,17.77,14.55
,292,-0.00185919,17.7446,14.6
,293,-0.000487511,17.72,14.65
,294,0.00258434,17.695,14.7
,295,0.000642563,17.6699,14.75
,296,-0.0011414,17.645,14.8
,297,-2.57E-05,17.62,14.85
,298,-0.000337874,17.595,14.9
,299,-0.00355781,17.5697,14.95
,300,-0.001111,17.545,15
,301,-0.00323944,17.52,15.05
,302,0.00131398,17.495,15.1
,303,-0.00118075,17.47,15.15
,304,-0.00253958,17.445,15.2
,305,-0.00333454,17.42,15.25
,306,-0.00263972,17.3953,15.3
,307,-0.00282365,17.37,15.35
,308,0.000100131,17.3454,15.4
,309,-0.00410805,17.3206,15.45
,310,-0.00186074,17.2956,15.5
,311,-0.00659381,17.2706,15.55
,312,-0.00244605,17.2456,15.6
,313,-0.00260115,17.2214,15.65
,314,-0.00401101,17.1956,15.7
,315,-0.00296705,17.1706,15.75
,316,-0.0046684,17.1456,15.8
,317,-0.00467775,17.1206,15.85
,318,-0.00473465,17.0956,15.9
,319,-0.00513875,17.0706,15.95
,320,-0.00195778,17.046,16
,321,-0.00612816,17.0215,16.05
,322,-0.00403711,16.9969,16.1
,323,-0.00413415,16.9719,16.15
,324,-0.00489636,16.9469,16.2
,325,-0.00493067,16.9221,16.25
,326,-0.0033431,16.8971,16.3
,327,-0.00669514,16.8719,16.35
,328,-0.00793393,16.8469,16.4
,329,-0.00385592,16.8219,16.45
,330,-0.00497508,16.7969,16.5
,331,-0.00345884,16.7719,16.55
,332,-0.0108534,16.7469,16.6
,333,-0.00484493,16.7219,16.65
,334,-0.0063908,16.6969,16.7
,335,-0.00268221,16.6719,16.75
,336,-0.00289184,16.6469,16.8
,337,-0.00206768,16.6221,16.85
,338,-0.00467114,16.5971,16.9
,339,-0.00534099,16.5719,16.95
,340,-0.00284392,16.5469,17
,341,-0.00157473,16.5221,17.05
,342,-0.00354846,16.4971,17.1
,343,-0.00486129,16.4722,17.15
,344,-0.0060814,16.4474,17.2
,345,-0.00413533,16.4224,17.25
,346,-0.00333687,16.3975,17.3
,347,-0.00265336,16.3725,17.35
,348,-0.0100955,16.3475,17.4
,349,-0.00442329,16.3225,17.45
,350,-0.00995443,16.2975,17.5
,351,-0.00533242,16.2725,17.55
,352,-0.00505769,16.2475,17.6
,353,-0.00401179,16.2228,17.65
,354,-0.00584642,16.1978,17.7
,355,-0.00473466,16.1734,17.75
,356,-0.000717426,16.1476,17.8
,357,-0.00041464,16.1228,17.85
,358,-0.00249126,16.0979,17.9
,359,-0.00406479,16.0726,17.95
,360,-0.00374369,16.0476,18
,361,-0.00277183,16.0228,18.05
,362,-0.000314112,15.9982,18.1
,363,-0.00188685,15.9739,18.15
,364,-0.00097695,15.9488,18.2
,365,-0.000802368,15.924,18.25
,366,-0.00086083,15.899,18.3
,367,0.000224436,15.8739,18.35
,368,0.00120448,15.8488,18.4
,369,0.0007961,15.824,18.45
,370,0.00094456,15.799,18.5
,371,-0.0016698,15.7739,18.55
,372,0.00200255,15.7488,18.6
,373,0.00147492,15.724,18.65
,374,-0.000744323,15.6987,18.7
,375,-0.000461792,15.6737,18.75
,376,-0.000775884,15.6487,18.8
,377,0.00244523,15.6238,18.85
,378,0.000767648,15.5988,18.9
,379,-0.00190518,15.5737,18.95
,380,0.000619958,15.5487,19
,381,0.000660867,15.524,19.05
,382,-0.00150887,15.499,19.1
,383,0.00321095,15.4739,19.15
,384,0.00112928,15.4488,19.2
,385,0.00192306,15.424,19.25
,386,-0.000193313,15.399,19.3
,387,0.00236456,15.3741,19.35
,388,0.00158247,15.349,19.4
,389,0.00452496,15.3241,19.45
,390,0.00455068,15.299,19.5
,391,0.00326512,15.2741,19.55
,392,0.0025442,15.2493,19.6
,393,0.00240859,15.2244,19.65
,394,0.00287933,15.1991,19.7
,395,0.0011394,15.1741,19.75
,396,0.00265954,15.1493,19.8
,397,0.00499957,15.1244,19.85
,398,-0.00195115,15.0994,19.9
,399,0.00315484,15.0744,19.95
,400,0.00514377,15.0494,20
,401,0.00141218,15.0244,20.05
,402,-6.51E-05,14.9994,20.1
,403,0.00434376,14.9741,20.15
,404,-0.00353326,14.9493,20.2
,405,0.00149752,14.9252,20.25
,406,0.000123511,14.9,20.3
,407,0.00168106,14.8749,20.35
,408,-0.000869801,14.8501,20.4
,409,0.00362595,14.8252,20.45
,410,-0.000829265,14.7998,20.5
,411,0.00388822,14.7749,20.55
,412,-0.00128909,14.7498,20.6
,413,-0.000815238,14.7249,20.65
,414,-0.00226252,14.6998,20.7
,415,-0.00146132,14.6749,20.75
,416,-0.000727952,14.6498,20.8
,417,0.000801941,14.6249,20.85
,418,0.00167677,14.5998,20.9
,419,-0.00110945,14.5747,20.95
,420,-0.00424756,14.5496,21
,421,0.00035653,14.5248,21.05
,422,0.000308613,14.4998,21.1
,423,0.00169821,14.4749,21.15
,424,-0.00434302,14.4498,21.2
,425,0.00121071,14.4249,21.25
,426,-0.00438822,14.3998,21.3
,427,-0.00300174,14.3749,21.35
,428,-0.00206299,14.3501,21.4
,429,-0.00315488,14.3252,21.45
,430,-0.000591566,14.3,21.5
,431,0.000879874,14.275,21.55
,432,-0.00317242,14.2501,21.6
,433,-0.00165306,14.2252,21.65
,434,-0.00424326,14.2002,21.7
,435,-0.00529306,14.1752,21.75
,436,-0.00337817,14.1502,21.8
,437,-0.00587329,14.1252,21.85
,438,-0.00630351,14.1002,21.9
,439,-0.00252204,14.0756,21.95
,440,-0.00697259,14.0502,22
,441,-0.000607143,14.0252,22.05
,442,-0.00556389,14.0002,22.1
,443,-0.00558689,13.9752,22.15
,444,-0.00477479,13.9501,22.2
,445,-0.00484415,13.9252,22.25
,446,-0.00822931,13.9,22.3
,447,-0.00500432,13.8758,22.35
,448,-0.0104209,13.8508,22.4
,449,-0.0026253,13.826,22.45
,450,-0.00548129,13.8009,22.5
,451,-0.00690907,13.7758,22.55
,452,-0.0120751,13.7507,22.6
,453,-0.00495989,13.7258,22.65
,454,-0.00693791,13.7007,22.7
,455,-0.00842377,13.6758,22.75
,456,-0.00692817,13.6507,22.8
,457,-0.00436484,13.6258,22.85
,458,-0.00237278,13.6007,22.9
,459,-0.00787587,13.5756,22.95
,460,-0.00368875,13.5507,23
,461,-0.00963295,13.5256,23.05
,462,-0.00766699,13.5007,23.1
,463,-0.00763232,13.4758,23.15
,464,-0.00522525,13.4508,23.2
,465,-0.0101598,13.426,23.25
,466,-0.00792185,13.4009,23.3
,467,-0.00261361,13.3758,23.35
,468,-0.00419961,13.3508,23.4
,469,-0.00187244,13.326,23.45
,470,-0.00644029,13.301,23.5
,471,-0.00521825,13.276,23.55
,472,-0.00444083,13.251,23.6
,473,-0.00467074,13.226,23.65
,474,-0.00538815,13.201,23.7
,475,-0.00771338,13.1762,23.75
,476,-0.00478648,13.151,23.8
,477,-0.00531801,13.1262,23.85
,478,-0.000202268,13.1013,23.9
,479,-0.00124466,13.0762,23.95
,480,-0.00371992,13.051,24
,481,-0.0038454,13.0265,24.05
,482,-0.0028443,13.0013,24.1
,483,-0.000175769,12.9762,24.15
,484,-0.0015081,12.951,24.2
,485,-0.00270948,12.926,24.25
,486,-0.00116634,12.901,24.3
,487,-0.00326594,12.876,24.35
,488,0.00249081,12.851,24.4
,489,-0.00218263,12.8269,24.45
,490,-0.00207119,12.8019,24.5
,491,-0.000646109,12.7769,24.55
,492,0.00165573,12.7519,24.6
,493,-0.00105138,12.7269,24.65
,494,0.00154584,12.7019,24.7
,495,-0.00123025,12.6769,24.75
,496,-0.00419768,12.6519,24.8
,497,-0.000313714,12.6269,24.85
,498,0.0019289,12.6019,24.9
,499,0.000835463,12.5769,24.95
,500,0.000941838,12.5519,25
,501,-0.00254659,12.5269,25.05
,502,0.000510464,12.5019,25.1
,503,0.00207075,12.4769,25.15
,504,0.00039121,12.4519,25.2
,505,0.00173756,12.427,25.25
,506,0.00202477,12.4021,25.3
,507,-0.00249982,12.3771,25.35
,508,-0.00195466,12.3519,25.4
,509,9.97E-05,12.327,25.45
,510,0.00433558,12.3021,25.5
,511,0.00114797,12.2774,25.55
,512,0.00292102,12.2522,25.6
,513,-0.00123453,12.2275,25.65
,514,0.00301183,12.2025,25.7
,515,0.00314549,12.1775,25.75
,516,0.00488736,12.1525,25.8
,517,0.00119045,12.1275,25.85
,518,0.00223168,12.1025,25.9
,519,0.00341436,12.0775,25.95
,520,-0.00177502,12.0525,26
,521,0.000479291,12.0275,26.05
,522,0.00422919,12.0025,26.1
,523,0.00351762,11.9779,26.15
,524,0.000339394,11.9525,26.2
,525,0.000460188,11.9275,26.25
,526,0.00244015,11.9025,26.3
,527,0.00183926,11.8775,26.35
,528,0.00168729,11.8525,26.4
,529,0.000526056,11.8275,26.45
,530,0.00259252,11.8025,26.5
,531,-0.00120531,11.7783,26.55
,532,0.00196202,11.7533,26.6
,533,0.0023817,11.7288,26.65
,534,0.00277489,11.7038,26.7
,535,0.00239301,11.6788,26.75
,536,-0.000381127,11.6538,26.8
,537,0.00126177,11.6288,26.85
,538,0.000794927,11.6038,26.9
,539,-0.00181244,11.5787,26.95
,540,0.00254967,11.5538,27
,541,0.000499542,11.5288,27.05
,542,0.00126254,11.5038,27.1
,543,-0.00221381,11.4793,27.15
,544,-0.00277805,11.4541,27.2
,545,-0.00706534,11.4291,27.25
,546,0.00183458,11.4043,27.3
,547,-0.000155116,11.3794,27.35
,548,0.000261838,11.3544,27.4
,549,-0.000941883,11.3294,27.45
,550,-0.000857323,11.3044,27.5
,551,-0.000890444,11.2794,27.55
,552,0.000250146,11.2544,27.6
,553,-0.00502184,11.2294,27.65
,554,-0.00182256,11.2044,27.7
,555,-0.00107671,11.1796,27.75
,556,-0.00615387,11.1547,27.8
,557,-0.00494976,11.1295,27.85
,558,-0.00341208,11.1049,27.9
,559,-0.00050272,11.0799,27.95
,560,-0.00258127,11.0547,28
,561,-0.00385631,11.0297,28.05
,562,-0.00208132,11.0049,28.1
,563,-0.00712768,10.98,28.15
,564,-0.00187244,10.9547,28.2
,565,-0.00675943,10.9304,28.25
,566,-0.00512511,10.905,28.3
,567,-0.00476855,10.88,28.35
,568,-0.00149835,10.855,28.4
,569,-0.00280924,10.83,28.45
,570,-0.00493924,10.805,28.5
,571,-0.00870161,10.78,28.55
,572,-0.00218613,10.755,28.6
,573,-0.00167293,10.7312,28.65
,574,-0.00466529,10.7062,28.7
,575,-0.0041735,10.6812,28.75
,576,-0.00675047,10.6562,28.8
,577,-0.00790861,10.6312,28.85
,578,-0.00170098,10.6063,28.9
,579,-0.00348456,10.5812,28.95
,580,-0.00459242,10.5562,29
,581,-0.00536983,10.5312,29.05
,582,-0.00320164,10.5062,29.1
,583,-0.00361782,10.4812,29.15
,584,-0.00473387,10.4565,29.2
,585,-0.00232447,10.4314,29.25
,586,-0.00726993,10.4065,29.3
,587,-0.00562976,10.3818,29.35
,588,-0.007584,10.3569,29.4
,589,-0.00343701,10.3319,29.45
,590,-0.00860497,10.3069,29.5
,591,-0.000632857,10.2819,29.55
,592,-0.0122356,10.2568,29.6
,593,-0.00499769,10.2319,29.65
,594,-0.00662539,10.2069,29.7
,595,-0.00245697,10.1819,29.75
,596,-0.0033392,10.1569,29.8
,597,-0.00118115,10.132,29.85
,598,-0.00433718,10.1069,29.9
,599,-0.0013491,10.0824,29.95
,600,-0.00388203,10.0572,30
,601,-0.00377721,10.032,30.05
,602,-0.00609776,10.0074,30.1
,603,-0.00033242,9.9825,30.15
,604,-0.00567846,9.9575,30.2
,605,-0.00377058,9.9325,30.25
,606,-0.0055748,9.9075,30.3
,607,-0.000272016,9.8825,30.35
,608,-0.00233031,9.8579,30.4
,609,-0.00295731,9.8325,30.45
,610,-0.00376318,9.8075,30.5
,611,-0.00130272,9.7825,30.55
,612,-0.00251737,9.7575,30.6
,613,-0.00267168,9.7325,30.65
,614,0.0019441,9.7075,30.7
,615,-0.000288005,9.6833,30.75
,616,0.000294571,9.6583,30.8
,617,-0.00119323,9.6333,30.85
,618,-0.00386216,9.6083,30.9
,619,-0.00217991,9.5833,30.95
,620,0.00199631,9.5583,31
,621,0.00171458,9.5333,31.05
,622,-0.000328138,9.5083,31.1
,623,-0.000199924,9.4833,31.15
,624,-0.00158797,9.4583,31.2
,625,0.0013471,9.4335,31.25
,626,0.00230298,9.4083,31.3
,627,0.00152324,9.3835,31.35
,628,0.000121559,9.359,31.4
,629,0.0021175,9.3335,31.45
,630,0.000955075,9.3088,31.5
,631,0.00286569,9.284,31.55
,632,0.0015396,9.259,31.6
,633,0.00360413,9.234,31.65
,634,0.00440571,9.209,31.7
,635,0.00210424,9.184,31.75
,636,0.00435271,9.159,31.8
,637,0.0036891,9.134,31.85
,638,-0.000241622,9.109,31.9
,639,0.000274311,9.084,31.95
,640,-0.000733018,9.059,32
,641,-0.000641828,9.034,32.05
,642,0.00160704,9.009,32.1
,643,0.0022496,8.9842,32.15
,644,0.00199593,8.9592,32.2
,645,0.00555254,8.9341,32.25
,646,0.00267786,8.909,32.3
,647,0.00174068,8.8842,32.35
,648,0.000287563,8.8592,32.4
,649,0.00330915,8.8341,32.45
,650,-0.000120819,8.809,32.5
,651,0.00241678,8.7842,32.55
,652,0.000446543,8.759,32.6
,653,0.0013471,8.734,32.65
,654,0.00160507,8.709,32.7
,655,0.00455185,8.684,32.75
,656,0.00249394,8.659,32.8
,657,0.00296429,8.6348,32.85
,658,0.00252122,8.6098,32.9
,659,0.00266617,8.5849,32.95
,660,0.00272736,8.5601,33
,661,0.000802338,8.535,33.05
,662,-2.48E-08,8.5098,33.1
,663,0.00358932,8.4852,33.15
,664,-0.00162031,8.4603,33.2
,665,-0.000661318,8.4352,33.25
,666,0.001102,8.4104,33.3
,667,-0.0012283,8.3854,33.35
,668,-0.00363652,8.3604,33.4
,669,-0.000529587,8.3354,33.45
,670,0.00170133,8.3104,33.5
