Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg_v500_Fn15N_5Hz_3s,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,812,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,-0.00665109,24.9998,0.051
,2,-0.00488272,24.9838,0.101
,3,-0.00563324,24.959,0.15
,4,-0.00675085,24.934,0.201
,5,-0.00474867,24.909,0.251
,6,-0.0037655,24.884,0.301
,7,-0.00425963,24.859,0.351
,8,-0.00712065,24.834,0.401
,9,-0.00458616,24.809,0.451
,10,-0.00545711,24.784,0.501
,11,-0.0053932,24.759,0.551
,12,-0.00376472,24.734,0.601
,13,-0.00445875,24.709,0.651
,14,-0.00432314,24.684,0.701
,15,-0.00518783,24.659,0.751
,16,-0.00443303,24.634,0.801
,17,-0.00658563,24.609,0.851
,18,-0.00446537,24.584,0.901
,19,-0.00645975,24.5592,0.951
,20,-0.00551011,24.534,1.001
,21,-0.00759606,24.509,1.051
,22,-0.00550543,24.4842,1.1
,23,-0.00739577,24.4592,1.15
,24,-0.00606268,24.4343,1.2
,25,-0.00754034,24.4096,1.25
,26,-0.00436989,24.3854,1.3
,27,-0.0059559,24.3604,1.35
,28,-0.00624895,24.3354,1.4
,29,-0.00914661,24.3104,1.45
,30,-0.00504288,24.2854,1.5
,31,-0.00582303,24.2604,1.55
,32,-0.00720405,24.2354,1.6
,33,-0.00825191,24.2104,1.65
,34,-0.00569871,24.1856,1.7
,35,-0.00734589,24.1604,1.75
,36,-0.00646599,24.1356,1.8
,37,-0.00897476,24.1104,1.85
,38,-0.00601201,24.0856,1.9
,39,-0.00946694,24.0607,1.95
,40,-0.00769895,24.0356,2
,41,-0.00740317,24.0104,2.05
,42,-0.00618387,23.9856,2.1
,43,-0.0105218,23.9607,2.15
,44,-0.00777298,23.9356,2.2
,45,-0.0103055,23.9104,2.25
,46,-0.00696985,23.8856,2.3
,47,-0.0111835,23.8607,2.35
,48,-0.00877797,23.8356,2.4
,49,-0.0108094,23.8104,2.45
,50,-0.00863105,23.7856,2.5
,51,-0.01225,23.7607,2.55
,52,-0.00974555,23.7356,2.6
,53,-0.0115272,23.7104,2.65
,54,-0.0100164,23.6854,2.7
,55,-0.0121959,23.6604,2.75
,56,-0.0118198,23.6354,2.8
,57,-0.0133107,23.6104,2.85
,58,-0.0104653,23.5854,2.9
,59,-0.0111597,23.5604,2.95
,60,-0.0105043,23.5354,3
,61,-0.0134124,23.5104,3.05
,62,-0.0113316,23.4856,3.1
,63,-0.0113541,23.4607,3.15
,64,-0.0125614,23.4356,3.2
,65,-0.0143839,23.4104,3.25
,66,-0.0118494,23.3858,3.3
,67,-0.0127157,23.3607,3.35
,68,-0.0120595,23.3366,3.4
,69,-0.0134452,23.3116,3.45
,70,-0.0127788,23.2869,3.5
,71,-0.0129402,23.2618,3.55
,72,-0.0117964,23.2366,3.6
,73,-0.0151656,23.2116,3.65
,74,-0.013868,23.1869,3.7
,75,-0.0135449,23.1618,3.75
,76,-0.0121623,23.1369,3.8
,77,-0.0145589,23.1119,3.85
,78,-0.0117244,23.0869,3.9
,79,-0.0120462,23.0619,3.95
,80,-0.0131888,23.0369,4
,81,-0.0136537,23.0116,4.05
,82,-0.0121569,22.9869,4.1
,83,-0.0112006,22.9618,4.15
