Project:,Preeti_MushroomAdhesion,,,
,,,,
Test:,2020_03_16_v500_10Deg_v500_Fn15N_5Hz_1s,,,
,,,,
Result:,Measurement 1,,,
,,,,
Interval and data points:,1,612,,
Interval data:,Point No.,Normal Force,Gap,Time
,,,,
,,[N],[mm],[s]
,1,-0.00348453,19.9996,0.051
,2,-0.00148119,19.9832,0.101
,3,-0.00480089,19.9581,0.15
,4,-0.00509509,19.9333,0.201
,5,-0.00503703,19.9083,0.251
,6,-0.00323358,19.8833,0.301
,7,-0.00332906,19.8583,0.351
,8,-0.00608449,19.8333,0.401
,9,-0.003769,19.8083,0.451
,10,-0.00303796,19.7833,0.501
,11,-0.00362716,19.7583,0.551
,12,-0.00325852,19.7332,0.601
,13,-0.00263776,19.7081,0.651
,14,-0.00339219,19.6833,0.701
,15,-0.0036556,19.6583,0.751
,16,-0.00421324,19.6332,0.801
,17,-0.00485622,19.6082,0.851
,18,-0.00244058,19.5833,0.901
,19,-0.00287626,19.5583,0.951
,20,-0.00527201,19.5333,1.001
,21,-0.00382006,19.5083,1.051
,22,-0.00207311,19.4833,1.1
,23,-0.00276207,19.4583,1.15
,24,-0.00303562,19.4333,1.2
,25,-0.00288715,19.4083,1.25
,26,-0.00097772,19.3835,1.3
,27,-0.00278857,19.3586,1.35
,28,-0.00186658,19.3337,1.4
,29,-0.00255945,19.309,1.45
,30,7.78E-06,19.2848,1.5
,31,-0.00177111,19.2598,1.55
,32,-0.00192153,19.2348,1.6
,33,-0.00235915,19.2098,1.65
,34,-0.000764569,19.1848,1.7
,35,-0.0020131,19.1596,1.75
,36,-0.00226016,19.1348,1.8
,37,-0.00348493,19.1098,1.85
,38,-0.000762229,19.0848,1.9
,39,-0.00163628,19.0598,1.95
,40,-0.00120803,19.0348,2
,41,-0.00315875,19.0098,2.05
,42,-0.000481665,18.9849,2.1
,43,-0.0022703,18.96,2.15
,44,-0.00307966,18.935,2.2
,45,-0.004781,18.9098,2.25
,46,-0.0015634,18.8849,2.3
,47,-0.00349194,18.86,2.35
,48,-0.00306213,18.8348,2.4
,49,-0.00530396,18.8098,2.45
,50,-0.00262802,18.7849,2.5
,51,-0.00482076,18.7598,2.55
,52,-0.00391319,18.7348,2.6
,53,-0.00497118,18.7098,2.65
,54,-0.00296158,18.6848,2.7
,55,-0.0052229,18.6598,2.75
,56,-0.00470852,18.635,2.8
,57,-0.007093,18.6098,2.85
,58,-0.00405191,18.5849,2.9
,59,-0.00730692,18.56,2.95
,60,-0.0061219,18.535,3
,61,-0.00760426,18.5098,3.05
,62,-0.00631753,18.4852,3.1
,63,-0.00665888,18.4603,3.15
,64,-0.00636273,18.4352,3.2
,65,-0.00804108,18.4102,3.25
,66,-0.00615346,18.3854,3.3
,67,-0.00834425,18.3604,3.35
